source_file,legacy_path_or_template,normalized_path,type,dynamic_template,binary_available,status
core/src/screen/ConfigScr.java,/tick0.png,/tick0.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/CRes.java,/tick1.png,/tick1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/ConfigScr.java,/tick1.png,/tick1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Snow.java,/tuyet.png,/tuyet.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/CScreen.java,/v.png,/v.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/LuckyGame.java,/vong.png,/vong.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/LuckyGame.java,/vong_tron.png,/vong_tron.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,/wind.png,/wind.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,/wind2.png,/wind2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/CRes.java,/x.png,/x.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/CScreen.java,/x.png,/x.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,13Missile.png,13Missile.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,Eff.png,Eff.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/CRes.java,ScreenShot/mypixma3p.png,ScreenShot/mypixma3p.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,UFO.png,UFO.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,UFOFire.png,UFOFire.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,a.png,a.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,angle.png,angle.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,apache.png,apache.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,arial11b.png,arial11b.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,arialf.png,arialf.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,arm.png,arm.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,arrowMenu.png,arrowMenu.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,arrowRed.png,arrowRed.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,arrowup.png,arrowup.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,b.png,b.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,back_fan.png,back_fan.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/com/teamobi/mobiarmy2/MainClass.java,badlogic.jpg,badlogic.jpg,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/com/teamobi/mobiarmy2/MyGdxGame.java,badlogic.jpg,badlogic.jpg,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,bigMissile.png,bigMissile.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,bigballoon.png,bigballoon.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,blacksmoke.png,blacksmoke.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,blueSmoke.png,blueSmoke.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,blueSmoke2.png,blueSmoke2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,body.png,body.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,body_injured.png,body_injured.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,bomb.png,bomb.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,bomb.png,bomb.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,bomnguyentu.png,bomnguyentu.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,boomerang-big.png,boomerang-big.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,bossbig.png,bossbig.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,bossrobot.png,bossrobot.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,bosssmall.png,bosssmall.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,bug_body.png,bug_body.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,bug_gun.png,bug_gun.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,bug_leg.png,bug_leg.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,cannon.png,cannon.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,chat.png,chat.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,chatlong.png,chatlong.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,chuoi2.png,chuoi2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,chuotBull.png,chuotBull.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,chuotbay.png,chuotbay.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,cl2.png,cl2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,cloud1.png,cloud1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,co.png,co.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,co2.png,co2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,cobay.png,cobay.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,cobay.png,cobay.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,conKhiP.png,conKhiP.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,cowg.png,cowg.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,curMapPos.png,curMapPos.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,cuteGirl.png,cuteGirl.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,dan.png,dan.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,daodat.png,daodat.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,daodat2.png,daodat2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,diamond.png,diamond.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,dongbang.png,dongbang.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,electric.png,electric.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,electric2.png,electric2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/com/teamobi/mobiarmy2/MainClass.java,ex3.png,ex3.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,ex3.png,ex3.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,ex3.png,ex3.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,eye.png,eye.png,image,NO,NO,BLOCKED_ASSET_MISSING
